[xy415]: 射了
[Koony1N]: 舒服
[张珂珂我老公]: 66666
[柳贰仟]: 66666666666
[hi王扬先生]: 基本操作
[78561雪鸽的神箭]: 你咋不摔死自己得了
[相请偶遇]: 666
[没人kiss]: 傻逼
[你心中的SNIPER]: 66666666
[Vmchain]: 666666
[舜hhhhh]: 666666
[夏夏夏二萌]: 66666666666666
[thcxjn]: 意不意外，惊不惊喜。[emot:dy112][emot:dy112]
[zuck的小窝]: 老司机没事的
[15543323339]: 女司机果然好可怕
[LeeroyJ]: 4排撩汉
[Eporh]: 明人不说暗话 我想**
[TOMA1995]: 雪哥自己说的
[荒野行动阳光]: 开车不摸奶，摸奶不开车
[78561雪鸽的神箭]: 两轮还容易翻？摔死你算了
[LeeroyJ]: 4排撩汉4排撩汉
[伽乐大航班丶照唧唧]: 开车不摸奶 摸奶不开车
[自丶古套路得人心]: 不是开车不摸奶，摸奶不开车吗
[烙印yi]: 这车容易翻？那三轮他存在的意义是什么
[LeeroyJ]: 4排撩汉
[不过灬如此丨]: 开话不说车说车不开话
[结局Nice]: 脚底的键盘能看看嘛
[凌乱sk8]: 菊花呢
[LeeroyJ]: 4排撩汉4排撩汉
[Break丶Lefthand]: 6666666
[Jian钧]: 没油
[这个咸猪手不太热]: 葬爱杨老汉
[凰凰岁月丶雄哥相随]: 荒野飞车
[特特特酥]: 终于进来了
[枫丶静候轮回]: 老婆我爱你
[失恋很痛苦]: 最喜欢你主播
[DavidSwag]: 车：怪我咯
[迷路了就歇一歇]: f加速
[78561雪鸽的神箭]: 你吉普都能开翻的人就不要甩锅给摩托了
[WZW王中王WZW]: 开车不说话
[那是必须哦]: 雪哥，菊花昨天偷吃
[凌乱sk8]: 今天单杀？
[细碎斑斓]: 怕是个傻子吧
[打破平静的光]: #超清
[Eporh]: 真不要脸你们
[78561雪鸽的神箭]: 描边枪法
[旅行盒子]: 画质稀碎
[Break丶Lefthand]: 一枪没中
[小顾哥噢]: 小雪 想你哦
[戳你的菊花]: 抡铁锤吧
[ミ晴兲咑鐳ミ]: #超清
[像神一样的神经病]: 666
[羊大大大器晚成]: 雪哥打得好认真啊<9>
[法苏和你在一起]: 你赶紧把你的宏开开吧
[ミ晴兲咑鐳ミ]: #放屁
[无印良品Kmt]: 不作死就不会死啊
[吕莯沐]: 我来看小儿子的，虽然每次只看的到几秒。
[仗剑依红颜]: 靶子
[乃茜]: ，
[ミ晴兲咑鐳ミ]: #帮助
[吊打一切小学僧丶]: 。
[海映蓝了天]: 这个跟枪是真马
[趴在厕所逗蛆玩]: 西北一梭子
[78561雪鸽的神箭]: 四面树敌妃凌雪
[安颜夕]: 开车堵厕所啊
[zwb0204]: 打胎打胎
[呵呵刘燚冲]: 到处惹事
[云之旋律]: 雪MM教我们玩吧
[我的豆豆是女神]: 打胎
[Break丶Lefthand]: #一枪没中
[凉凉gg]: 看你直播两月你这衣服就黑白色轮换穿，再没换过
[雅儿小舅子]: 车胎给他打爆
[汇豪第一中单安妮]: 你就是那个游戏里跳舞的主播？？？
[血之犽]: 打爆奔奔轮胎
[1102324343]: 粗又黑
[神墨毒]: 早
[15822001375]: 厕所里人枪法够烂
[我是小阿杰呀]: 雪mm最厉害
[浮殇丶丶丶丶丶]: 6666
[v2923]: 礼炮欢送
[指枪]: 666
[京京大笨蛋]: 666
[污妖王丶汤宝宝]: 活在不好吗
[mikkyboy]: 跳跳胎打了
[弄死碧池]: 66666666666
[指枪]: ..
[leinuoa]: 主播居然会吸铁
[靠海边]: ......
[一个人的六年]: 谁说的想看性感的雪儿的
[7388356]: 对面的枪法也没谁了
[夕阳儿不醉]: 不知死活
[98K啦啦啦]: 6969696969
[尾鱼922]: 活着不好吗
[吕莯沐]: 对面好鸡儿菜
[污妖王丶汤宝宝]: 活着不好吗
[我家住你隔壁啊]: 厕所那个真是 活着不好吗
[乖乖站好0]: 66666666666
[r香菇蓝瘦]: 
[霜世]: 活着不好吗
[r香菇蓝瘦]: 努力
[老公人家要锤胸口]: 石头那里有个包啊<66>
[MSN而已]: 今天你迟到了
[78561雪鸽的神箭]: 活着不好吗
[LX118118118]: 杜卡迪
[jerkeys]: 雪哥今天的表情？？
[yb1949]: 美女呢<6>
[丶暖莫]: 又骑摩托 这是一定要死在 车上啊
[zwb0204]: 万一是个有配件没狙的呢
[zsy7228]: 穴MM的sks确实厉害
[MrYIF先生]: 7911
